N°Ins,Année,Code_UE,UE,Coef_UE,credit_UE,AnnéEtude,type_UE,Moy_UE,credit_obtenue,Aquit,An_d_obtent_UE
14010696449,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,7.95,11.0,false,2011
14010696449,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,2.65,4.0,false,2011
14010696449,2,MG9,UED1 ( MG9 ),02,2.0,2MIAS183,Découverte,0.00,0.0,false,2011
14010696449,2,MG10,UEF1 ( MG10 ),14,14.0,2MIAS184,Fondamental,0.00,0.0,false,2011
14010696449,2,MG11,UEM1 ( MG11 ),13,13.0,2MIAS184,Méthodologique,3.93,4.0,false,2011
14010696449,2,MG12,UE Transvesales ( MG12 ),3,3.0,2MIAS184,Transversal,0.00,0.0,false,2011
14010696402,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,8.16,0.0,false,2011
14010696402,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,5.32,0.0,false,2011
14010696402,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,5.39,0.0,false,2011
14010696402,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,10.50,2.5,true,2011
14010696481,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,8.50,3.0,false,2011
14010696481,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,7.76,6.0,false,2011
14010796643,1,TRX,Technologie des Réseaux(o),2.6,6.5,1MGI201,Fondamental,12.27,6.5,true,2011
14010796643,1,REOP,Recherche Opérationnelle (o),3.8,9.5,1MGI201,Fondamental,7.71,2.5,false,2011
14010796643,1,ALOG,Architecture logicielle (O),3.6,9.0,1MGI201,Méthodologique,10.33,9.0,true,2011
14010796643,1,UDE,UE Découverte (p),1,2.5,1MGI201,Découverte,9.00,0.0,false,2011
14010896694,2,MG7,UEF1 ( MG7 ),15,15.0,2MIAS183,Fondamental,0.00,0.0,false,2011
14010896694,2,MG8,UEM1 ( MG8 ),13,13.0,2MIAS183,Méthodologique,0.00,0.0,false,2011
